"age"	"hours"	"edu"	"race"	"mari.sta"	"workclass"	"gender"	"income"
"37"	36	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"38"	29	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"39"	20	32	"Community"	"White"	"Not_married"	"State-gov"	"Male"	"<=50K"
"40"	28	36	"Community"	"White"	"Married"	"Private"	"Female"	">50K"
"41"	39	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"42"	54	50	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"43"	52	18	"dropout"	"Black"	"Separated"	"Private"	"Female"	"<=50K"
"44"	56	50	"HighGrad"	"White"	"Widow"	"Self-emp-inc"	"Female"	"<=50K"
"45"	18	20	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"46"	39	40	"HighGrad"	"Black"	"Separated"	"Private"	"Male"	"<=50K"
"47"	21	24	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"48"	22	60	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	">50K"
"49"	38	54	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"50"	21	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"51"	63	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"52"	34	50	"Bachelors"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"53"	42	50	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"54"	33	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"55"	30	50	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"56"	39	40	"Community"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"57"	26	40	"Master"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"58"	33	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"59"	47	40	"HighGrad"	"White"	"Separated"	"Local-gov"	"Female"	"<=50K"
"60"	41	40	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"61"	41	60	"Community"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"62"	19	20	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"63"	46	40	"HighGrad"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"64"	43	48	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"65"	55	45	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"66"	46	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"67"	30	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"68"	21	40	"Community"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"69"	46	40	"Community"	"Other"	"Married"	"Private"	"Male"	"<=50K"
"70"	41	50	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"71"	69	30	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"72"	50	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"73"	20	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"74"	45	50	"Community"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"75"	23	40	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"76"	24	40	"Community"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"77"	44	50	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"78"	31	50	"Community"	"White"	"Married"	"Self-emp-not-inc"	"Male"	"<=50K"
"79"	43	44	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"80"	20	10	"dropout"	"White"	"Not_married"	"Federal-gov"	"Female"	"<=50K"
"81"	55	56	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"82"	24	40	"Community"	"White"	"Not_married"	"Federal-gov"	"Male"	"<=50K"
"83"	59	25	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"84"	49	20	"dropout"	"Black"	"Not_married"	"Federal-gov"	"Male"	"<=50K"
"85"	33	10	"Master"	"White"	"Married"	"Private"	"Female"	">50K"
"86"	59	40	"Bachelors"	"White"	"Separated"	"Federal-gov"	"Male"	"<=50K"
"87"	34	40	"Master"	"Amer-Indian-Eskimo"	"Not_married"	"Private"	"Male"	"<=50K"
"88"	20	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"89"	25	40	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"90"	49	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"91"	59	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"92"	20	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"93"	33	35	"Community"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"94"	22	39	"Community"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"95"	58	40	"dropout"	"White"	"Widow"	"Self-emp-not-inc"	"Female"	"<=50K"
"96"	52	28	"HighGrad"	"White"	"Widow"	"Local-gov"	"Female"	"<=50K"
"97"	36	40	"dropout"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"98"	41	40	"HighGrad"	"White"	"Married"	"Local-gov"	"Male"	"<=50K"
"99"	28	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"100"	19	16	"Community"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"101"	18	28	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"102"	18	48	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"103"	28	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"104"	29	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"105"	40	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"106"	26	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"107"	46	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"108"	23	24	"dropout"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"109"	44	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"110"	43	40	"Bachelors"	"White"	"Separated"	"Private"	"Female"	">50K"
"111"	31	60	"Bachelors"	"White"	"Separated"	"Local-gov"	"Female"	"<=50K"
"112"	18	25	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"113"	19	30	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"114"	41	40	"Community"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"115"	41	40	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"116"	69	25	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"117"	48	40	"PhD"	"White"	"Married"	"Federal-gov"	"Female"	">50K"
"118"	28	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"119"	27	60	"HighGrad"	"White"	"Married"	"Self-emp-not-inc"	"Male"	">50K"
"120"	41	50	"Master"	"White"	"Married"	"Private"	"Male"	">50K"
"121"	41	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"122"	24	40	"HighGrad"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"123"	42	41	"PhD"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"124"	57	48	"HighGrad"	"Black"	"Married"	"Private"	"Male"	"<=50K"
"125"	30	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"126"	36	60	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"127"	49	40	"dropout"	"Black"	"Married"	"Private"	"Male"	"<=50K"
"128"	33	35	"HighGrad"	"White"	"Married"	"Private"	"Female"	"<=50K"
"129"	23	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"130"	46	40	"Master"	"White"	"Married"	"Private"	"Male"	"<=50K"
"131"	18	22	"Community"	"Asian-Pac-Islander"	"Not_married"	"Private"	"Female"	"<=50K"
"132"	40	55	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"133"	43	45	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"134"	34	30	"Master"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"135"	47	30	"HighGrad"	"White"	"Widow"	"Self-emp-not-inc"	"Female"	"<=50K"
"136"	44	30	"Community"	"White"	"Widow"	"Private"	"Female"	"<=50K"
"137"	33	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"138"	55	50	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"139"	19	30	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"140"	28	14	"Community"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"141"	27	32	"dropout"	"Black"	"Married"	"Private"	"Female"	"<=50K"
"142"	50	20	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"143"	22	40	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"144"	40	45	"Bachelors"	"White"	"Married"	"State-gov"	"Male"	">50K"
"145"	25	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"146"	26	40	"HighGrad"	"White"	"Not_married"	"Local-gov"	"Male"	"<=50K"
"147"	22	25	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"148"	42	40	"Community"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"149"	38	40	"Bachelors"	"White"	"Separated"	"Self-emp-inc"	"Male"	"<=50K"
"150"	55	30	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"151"	32	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"152"	22	45	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"153"	29	40	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"154"	46	45	"Master"	"White"	"Married"	"State-gov"	"Male"	">50K"
"155"	31	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"156"	58	16	"PhD"	"White"	"Married"	"Self-emp-not-inc"	"Male"	">50K"
"157"	42	45	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"158"	18	25	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"159"	58	33	"HighGrad"	"White"	"Separated"	"Local-gov"	"Male"	"<=50K"
"160"	54	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"161"	34	40	"Master"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"162"	26	40	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"163"	61	60	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"164"	48	40	"Master"	"Black"	"Separated"	"Local-gov"	"Female"	"<=50K"
"165"	36	45	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"166"	24	45	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"167"	40	37	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"168"	33	50	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"169"	37	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"170"	34	40	"Master"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"171"	56	40	"Community"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"172"	37	55	"Bachelors"	"White"	"Widow"	"Private"	"Female"	"<=50K"
"173"	44	40	"HighGrad"	"Black"	"Separated"	"Private"	"Female"	"<=50K"
"174"	54	45	"HighGrad"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"175"	23	50	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"176"	34	40	"Bachelors"	"Black"	"Not_married"	"State-gov"	"Male"	"<=50K"
"177"	22	45	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"178"	33	40	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"179"	39	50	"Bachelors"	"White"	"Separated"	"Private"	"Male"	">50K"
"180"	47	37	"Community"	"Black"	"Separated"	"Private"	"Female"	"<=50K"
"181"	26	55	"HighGrad"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"182"	31	40	"Community"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"183"	44	45	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"184"	42	50	"Master"	"White"	"Married"	"Self-emp-inc"	"Female"	">50K"
"185"	19	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"186"	27	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"187"	51	40	"Community"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"188"	28	50	"Bachelors"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"189"	57	45	"Bachelors"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"190"	45	40	"Bachelors"	"White"	"Separated"	"Local-gov"	"Female"	"<=50K"
"191"	50	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"192"	34	54	"Bachelors"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"193"	45	40	"dropout"	"Black"	"Married"	"Private"	"Male"	"<=50K"
"194"	73	20	"HighGrad"	"White"	"Married"	"Local-gov"	"Male"	"<=50K"
"195"	34	50	"Bachelors"	"White"	"Married"	"Private"	"Female"	">50K"
"196"	31	55	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"197"	19	12	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"198"	25	50	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"199"	38	40	"Community"	"White"	"Separated"	"Federal-gov"	"Female"	"<=50K"
"200"	39	40	"Bachelors"	"White"	"Married"	"Private"	"Male"	"<=50K"
"201"	23	32	"Bachelors"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"202"	49	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"203"	33	32	"HighGrad"	"White"	"Not_married"	"Federal-gov"	"Male"	"<=50K"
"204"	21	38	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"205"	31	40	"Community"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"206"	23	45	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"207"	34	40	"Bachelors"	"Asian-Pac-Islander"	"Married"	"Private"	"Male"	"<=50K"
"208"	25	40	"HighGrad"	"Asian-Pac-Islander"	"Not_married"	"Private"	"Female"	"<=50K"
"209"	39	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"210"	52	40	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"211"	63	40	"dropout"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"212"	41	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"213"	46	38	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"214"	53	40	"HighGrad"	"White"	"Married"	"Local-gov"	"Male"	"<=50K"
"215"	18	40	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"216"	38	50	"Master"	"White"	"Married"	"Private"	"Male"	"<=50K"
"217"	55	50	"Master"	"Asian-Pac-Islander"	"Not_married"	"Private"	"Female"	"<=50K"
"218"	34	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"219"	80	30	"HighGrad"	"White"	"Married"	"Self-emp-not-inc"	"Male"	"<=50K"
"220"	34	60	"Community"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"221"	52	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"222"	42	28	"HighGrad"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"223"	26	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"224"	31	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"225"	25	35	"HighGrad"	"White"	"Not_married"	"Local-gov"	"Female"	"<=50K"
"226"	55	60	"HighGrad"	"White"	"Married"	"Self-emp-not-inc"	"Male"	"<=50K"
"227"	19	12	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"228"	62	32	"Community"	"White"	"Married"	"Self-emp-not-inc"	"Male"	"<=50K"
"229"	22	20	"Community"	"White"	"Not_married"	"Federal-gov"	"Female"	"<=50K"
"230"	35	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"231"	28	40	"HighGrad"	"White"	"Married"	"Private"	"Female"	"<=50K"
"232"	47	70	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"233"	44	40	"HighGrad"	"White"	"Married"	"State-gov"	"Male"	"<=50K"
"234"	21	15	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"235"	35	50	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"236"	24	40	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"237"	42	40	"Bachelors"	"White"	"Not_married"	"Federal-gov"	"Male"	"<=50K"
"238"	28	50	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"239"	21	35	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"240"	62	40	"Community"	"Black"	"Separated"	"Federal-gov"	"Male"	"<=50K"
"241"	39	40	"HighGrad"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"242"	30	40	"HighGrad"	"White"	"Not_married"	"State-gov"	"Male"	"<=50K"
"243"	72	20	"Master"	"White"	"Not_married"	"Self-emp-not-inc"	"Male"	"<=50K"
"244"	50	50	"Community"	"White"	"Married"	"Private"	"Female"	"<=50K"
"245"	28	40	"Master"	"White"	"Not_married"	"Local-gov"	"Male"	"<=50K"
"246"	29	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"247"	26	40	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"248"	27	40	"Master"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"249"	29	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"250"	29	25	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"251"	31	20	"dropout"	"White"	"Married"	"Private"	"Female"	"<=50K"
"252"	25	75	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"253"	58	40	"dropout"	"White"	"Married"	"Private"	"Male"	">50K"
"254"	64	40	"Community"	"White"	"Married"	"Private"	"Female"	">50K"
"255"	46	38	"Master"	"White"	"Not_married"	"State-gov"	"Male"	"<=50K"
"256"	19	35	"HighGrad"	"Amer-Indian-Eskimo"	"Not_married"	"Private"	"Female"	"<=50K"
"257"	42	52	"HighGrad"	"Black"	"Separated"	"Private"	"Male"	"<=50K"
"258"	18	24	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"259"	58	50	"Bachelors"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"260"	20	60	"Community"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"261"	35	40	"HighGrad"	"White"	"Married"	"Federal-gov"	"Male"	">50K"
"262"	32	38	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"263"	23	25	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"264"	31	40	"Community"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"265"	33	55	"Bachelors"	"Black"	"Married"	"Private"	"Male"	"<=50K"
"266"	41	48	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"267"	22	40	"HighGrad"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"268"	46	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"269"	61	40	"Community"	"Black"	"Married"	"Federal-gov"	"Male"	"<=50K"
"270"	30	40	"HighGrad"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"271"	42	55	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"272"	63	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"273"	26	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"274"	42	40	"dropout"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"275"	23	40	"Community"	"White"	"Married"	"Private"	"Male"	"<=50K"
"276"	25	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"277"	30	32	"dropout"	"White"	"Married"	"Private"	"Male"	">50K"
"278"	23	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"279"	34	60	"Community"	"White"	"Not_married"	"Self-emp-not-inc"	"Male"	">50K"
"280"	30	48	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"281"	39	40	"Community"	"White"	"Married"	"Private"	"Male"	">50K"
"282"	30	38	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"283"	38	38	"Community"	"White"	"Separated"	"Local-gov"	"Female"	"<=50K"
"284"	26	40	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"285"	20	16	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"286"	37	40	"Bachelors"	"Black"	"Not_married"	"Local-gov"	"Male"	"<=50K"
"287"	33	40	"HighGrad"	"White"	"Married"	"Private"	"Female"	"<=50K"
"288"	24	40	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"289"	42	60	"Bachelors"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
"290"	56	45	"Community"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"291"	22	40	"Community"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"292"	52	60	"Community"	"White"	"Married"	"Self-emp-not-inc"	"Male"	"<=50K"
"293"	44	45	"Bachelors"	"White"	"Separated"	"Private"	"Female"	">50K"
"294"	34	35	"HighGrad"	"White"	"Married"	"Private"	"Female"	"<=50K"
"295"	51	42	"Community"	"White"	"Separated"	"Private"	"Male"	">50K"
"296"	19	25	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"297"	37	40	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"298"	68	40	"HighGrad"	"Black"	"Married"	"Private"	"Male"	">50K"
"299"	22	40	"Community"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"300"	56	40	"Bachelors"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"301"	37	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"302"	52	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"303"	26	40	"HighGrad"	"White"	"Separated"	"Private"	"Male"	"<=50K"
"304"	33	50	"Master"	"White"	"Married"	"Private"	"Male"	"<=50K"
"305"	45	42	"Master"	"White"	"Separated"	"Local-gov"	"Female"	"<=50K"
"306"	18	15	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"307"	43	60	"Community"	"White"	"Married"	"Self-emp-not-inc"	"Male"	">50K"
"308"	64	50	"PhD"	"White"	"Married"	"Self-emp-not-inc"	"Male"	">50K"
"309"	18	20	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"310"	57	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"311"	41	42	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"312"	34	50	"Master"	"White"	"Married"	"Private"	"Male"	">50K"
"313"	19	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"314"	44	55	"dropout"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"315"	56	40	"dropout"	"White"	"Widow"	"Private"	"Female"	"<=50K"
"316"	36	80	"HighGrad"	"White"	"Married"	"Self-emp-inc"	"Male"	"<=50K"
"317"	48	48	"Bachelors"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"318"	29	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"319"	33	40	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"320"	31	40	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"321"	39	45	"Master"	"White"	"Married"	"Private"	"Male"	">50K"
"322"	66	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"323"	27	50	"Bachelors"	"White"	"Not_married"	"Private"	"Female"	">50K"
"324"	39	40	"HighGrad"	"Black"	"Separated"	"Private"	"Female"	">50K"
"325"	59	50	"dropout"	"White"	"Married"	"Private"	"Male"	">50K"
"326"	26	40	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
